Mod Name,Iframe Link,Image URL
FNF 2Hot with Lyrics Freestyled,https://fnf.kdata1.com/2024/2hot-with-lyrics-freestyled/,https://kbhgames.com/wp-content/uploads/2024/06/fnf-2hot-with-lyrics-freestyled.jpg
FNF vs Nonsense v2: A Nonsensical Friday Night,https://fnf.kdata1.com/nonsense/2.11/,https://kbhgames.com/wp-content/uploads/2021/07/FNF-vs-Nonsense.jpg
Friday Night Funkin’ vs Bob and Bosip (The Expansion Update),https://fnf.run3.io/bob-and-bosip/5/?343,https://kbhgames.com/wp-content/uploads/2021/06/Friday-Night-Funkin%E2%80%99-vs-Bob-and-Bosip.jpg
FNF Character Test Playground 2,https://fnf.run3.io/playground-2/1/,https://kbhgames.com/wp-content/uploads/2021/06/FNF-Character-Test-Playground2.jpg
"FNF Pibby vs Corrupted BF, Blueballed Fight for Control",https://fnf.kdata1.com/blueballed-pibby/1.5/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-pibby-vs-corrupted-bf-blueballed-fight-for-control.jpg
FNF Corruption Takeover – Pico Week Nexus,https://fnf.kdata1.com/corruption-takeover-pico-week-nexus/1.1/,https://kbhgames.com/wp-content/uploads/2022/07/fnf-corruption-takeover-pico-week-nexus.jpg
FNF: Falter Alters Prime Retake,https://fnf.kdata1.com/2024/falter-alters-prime-retake/1/,https://kbhgames.com/wp-content/uploads/2024/09/fnf-falter-alters-prime-retake-1.jpg
Friday Night Funkin Corruption: Reimagined!,https://fnf.kdata1.com/corruption-reimagined/1/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-corruption-reimagined.jpg
FNF vs Sonic.EXE 2.0,https://fnf.kdata1.com/sonic.exe/3/,https://kbhgames.com/wp-content/uploads/2021/11/friday-night-funkin-vs-sonic-exe-2-0.jpg
FNF vs Bob v2.0 (Bob’s Onslaught),https://fnf.run3.io/bob/v2/?d,https://kbhgames.com/wp-content/uploads/2021/07/FNF-vs-Bob-v2.0-Bobs-Onslaught-1.jpg
FNF Vs. Hex 2 (Weekend Update),https://fnf.kdata1.com/hex-weekend/2/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-vs-hex-mod-full-week.jpg
Wednesday’s Infidelity 2 vs Sad Mickey Mouse,https://fnf.kdata1.com/wednesdays-infidelity-vs-sad-mickey-mouse/3/,https://kbhgames.com/wp-content/uploads/2021/12/wednesdays-infidelity-vs-sad-mickey-mouse.png
FNF x AKAGE,https://fnf.kdata1.com/2025/akage/1/,https://kbhgames.com/wp-content/uploads/2025/03/FNF-x-AKAGE.jpg
FNF: Doki Doki Takeover (DDLC) Plus,https://kdata1.com/5000/2025/doki-doki-takeover-ddlc/,https://kbhgames.com/wp-content/uploads/2021/10/friday-night-funkin-doki-doki-takeover-ddlc.jpg
FNF: Vs. Dave and Bambi: Golden Apple Edition,https://fnf.kdata1.com/dave-bambi-golden-apple/1/,https://kbhgames.com/wp-content/uploads/2021/12/fnf-vs-dave-and-bambi-golden-apple-edition.jpg
FNF Character Test Playground 3,https://fnf.run3.io/playground-3/2/?f,https://kbhgames.com/wp-content/uploads/2021/07/FNF-Character-Test-Playground-3.jpg
Friday Night Funkin’: Whitty ERECT,https://fnf.kdata1.com/2024/whitty-erect/1/,https://kbhgames.com/wp-content/uploads/2024/10/friday-night-funkin-whitty-erect.jpg
Animation VS Friday Night Funkin’ Full Mod,https://fnf.kdata1.com/animation/3/,https://kbhgames.com/wp-content/uploads/2022/10/animation-vs-friday-night-funkin-mod.jpg
FNF Mid Fight Masses Deluxe Edition,https://fnf.kdata1.com/mid-fight-masses-deluxe-edition/1/,https://kbhgames.com/wp-content/uploads/2021/11/fnf-mid-fight-masses-deluxe-edition.jpg
FNF Vs FNAF 3,https://fnf.kdata1.com/2025/fnaf3/,https://kbhgames.com/wp-content/uploads/2025/01/FNF-Vs-FNAF-3.jpg
Friday Night Funkin’: Foned In (FNF Mobile),https://fnf.run3.io/foned-in/1/,https://kbhgames.com/wp-content/uploads/2021/04/friday-night-funkin-foned-in-fnf-mobile.jpg
FNF: DustTale Remastered v2.0,https://fnf.run3.io/dusttale-remastered/1.1/,https://kbhgames.com/wp-content/uploads/2021/09/friday-night-funkin-dusttale-remastered-v2-0.jpg
"FNF vs FNaF 1 (vs Freddy, Chica, Foxy, Bonnie)",https://fnf.kdata1.com/fnaf1/1/,https://kbhgames.com/wp-content/uploads/2022/03/fnf-vs-fnaf-vs-freddy-chica-foxy-bonnie.jpg
FNF vs Shaggy x Matt,https://fnf.run3.io/shaggy-matt/1.5/,https://kbhgames.com/wp-content/uploads/2021/07/FNF-vs-Shaggy-x-Matt.jpg
Friday Night Funkin: Pico School,https://fnf.kdata1.com/pico-school/2.1/,https://kbhgames.com/wp-content/uploads/2021/05/picoschool.jpg
"FNF vs Accelerant Hank, but he shoots 8X More Bullets",https://fnf.kdata1.com/accelerant-hank-with-more-bullets/1/,https://kbhgames.com/wp-content/uploads/2021/11/fnf-vs-accelerant-hank-but-he-shoots-8x-more-bullets.jpg
FNF Carol and Whitty Date Week,https://fnf.run3.io/carol-and-whitty-date-week/1.1/,https://kbhgames.com/wp-content/uploads/2021/07/FNF-Carol-and-Whitty-Date-Week.jpg
FNF Rev-Mixed vs Matt and Shaggy,https://fnf.kdata1.com/rev-mixed-vs-matt-and-shaggy/1/,https://kbhgames.com/wp-content/uploads/2023/06/FNF-Rev-Mixed-vs-Matt-and-Shaggy.png
FNF’ Vs Gorefield (Garfield),https://kdata1.com/5000/2025/gorefield-garfield/,https://kbhgames.com/wp-content/uploads/2025/01/FNF-Vs-Gorefield-Garfield.jpg
FNF vs Matt WIIK 3 (Fanmade),https://fnf.run3.io/matt-3-fanmade/3.1/,https://kbhgames.com/wp-content/uploads/2021/06/FNF-vs-Matt-WIIK-3-Fanmade.jpg
Friday Night Funkin’ Neo v3.0,https://fnf.run3.io/neo/2.5/?d,https://kbhgames.com/wp-content/uploads/2021/03/friday-night-funkin-neo-1.jpg
FNF Vs. Impostor (2025): UPDOG,https://fnf.kdata1.com/2025/impostor-2025/15/,https://kbhgames.com/wp-content/uploads/2025/05/fnf-vs-impostor-2025-updog.jpg
FNF Character Test Playground 4,https://fnf.run3.io/playground-4/1.25/,https://kbhgames.com/wp-content/uploads/2021/10/FNF-Character-Test-Playground-4.jpg
FNF vs Shaggy x Matt But only 4 Keys,https://fnf.run3.io/shaggy-x-matt-but-only-4-keys/1/,https://kbhgames.com/wp-content/uploads/2021/10/FNF-vs-Shaggy-x-Matt-But-only-4-Keys.jpg
FNF El Chavo & Quico | El Chavo Del 8 T2,https://fnf.kdata1.com/el-chavo-quico-el-chavo-del-8-t2/1/,https://kbhgames.com/wp-content/uploads/2023/01/fnf-el-chavo-quico-el-chavo-del-8-t2.png
Friday Night Funkin vs Bob,https://fnf.run3.io/bob/1/?222,https://kbhgames.com/wp-content/uploads/2021/05/Friday-Night-Funkin-vs-Bob.jpg
FNF x Pibby: Glitched Legends,https://fnf.kdata1.com/pibby-glitched-legends/1.11/,https://kbhgames.com/wp-content/uploads/2022/06/fnf-x-pibby-glitched-legends.jpg
FNF Silly Billy With Lyrics,https://fnf.kdata1.com/2024/silly-billy-with-lyrics/30/,https://kbhgames.com/wp-content/uploads/2024/06/FNF-Silly-Billy-With-Lyrics.png
"Rainbow Friends But Yellow, Pink, Red Join",https://fnf.kdata1.com/rainbow-friends-but-yellow-pink-red-join/1/,https://kbhgames.com/wp-content/uploads/2022/10/Rainbow-Friends-But-Yellow-Pink-Red-Join.jpg
FNF vs Pibby Twilight Sparkle – Dusk Till Dawn,https://fnf.kdata1.com/pibby-twilight-sparkle-dusk-till-dawn/2.1/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-vs-pibby-twilight-sparkle-dusk-till-dawn-1.jpg
FNF Vs Rainbow Friends,https://fnf.kdata1.com/,https://kbhgames.com/wp-content/uploads/2022/08/FNF-Vs-Rainbow-Friends.png
FNF: Friday Night Fever + Taki’s Revenge,https://fnf.kdata1.com/fever/1/,https://kbhgames.com/wp-content/uploads/2021/08/fnf-friday-night-fever.jpg
FnF: Sarvente vs Taki Sing Crucify,https://fnf.run3.io/sarvente-vs-taki-sing-crucify/1/?d,https://kbhgames.com/wp-content/uploads/2021/08/fnf-sarvente-vs-taki-in-crucify.jpg
FNF Vs. Dave and Bambi: Definitive Edition,https://fnf.kdata1.com/dave-and-bambi-definitive-edition/1.1/,https://kbhgames.com/wp-content/uploads/2022/01/fnf-vs-dave-and-bambi-definitive-edition.jpg
FNF: Plants vs. Rappers,https://fnf.kdata1.com/plant-rapper/2/,https://kbhgames.com/wp-content/uploads/2022/01/friday-night-funkin-plants-vs-rappers.jpg
FnF vs Zardy Phase 2 Bushwhack,https://fnf.run3.io/zardy-v2-bushwhack/1.21/?d,https://kbhgames.com/wp-content/uploads/2021/08/FnF-vs-Zardy-v2-Bushwhack.jpg
Friday Night Funkin’ vs Tails Secret Histories,https://fnf.kdata1.com/tails-secret-histories/1.1/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-vs-tails-secret-histories.jpg
FNF: Lost My Mind + Breaking Point,https://fnf.kdata1.com/lost-my-mind-breaking-point/1/,https://kbhgames.com/wp-content/uploads/2022/09/fnf-lost-my-mind-breaking-point.jpg
FNF Weekend 1 [Girlfriend Mix],https://fnf.kdata1.com/2025/weekend-1-girlfriend-mix/1/,https://kbhgames.com/wp-content/uploads/2025/06/fnf-weekend-1-girlfriend-mix.jpg
Friday Night Funkin HD Remix Update,https://fnf.kdata1.com/hd-remix/1.1/,https://kbhgames.com/wp-content/uploads/2022/02/friday-night-funkin-hd-remix-update.jpg
Friday Night Funkin vs Flippy & Fliqpy,https://fnf.run3.io/flippy/1.16/,https://kbhgames.com/wp-content/uploads/2021/07/Friday-Night-Funkin-vs-Flippy.jpg
FNF vs Mokey the Mouse,https://fnf.kdata1.com/mokey-2/1/,https://kbhgames.com/wp-content/uploads/2021/10/FNF-vs-Mokey-the-Mouse.jpg
Funkin’ MIX,https://fnf.kdata1.com/funkin-mix/1/,https://kbhgames.com/wp-content/uploads/2023/02/funkin-mix.jpg
Friday Night Funkin: The X Event Full Week,https://fnf.run3.io/xmod/2/,https://kbhgames.com/wp-content/uploads/2021/04/fnf-x-mod.jpg
FNF vs Monika (DDLC) Full Week Rebooted,https://fnf.run3.io/monika/8.44/,https://kbhgames.com/wp-content/uploads/2021/05/Friday-Night-Funkin-vs-Monika-DDLC.jpg
FNF: Expurgation High Effort 2.0,https://fnf.run3.io/expurgation-high-effort-2-0/1/?4,https://kbhgames.com/wp-content/uploads/2021/08/fnf-expurgation-high-effort-2-0.jpg
FNF Corruption Outnumbered,https://fnf.kdata1.com/corruption-outnumbered/1/,https://kbhgames.com/wp-content/uploads/2022/05/FNF-Corruption-Outnumbered-1.png
FNF Sick of It – Speed VS KSI,https://fnf.kdata1.com/2024/sick-of-it-a-speed-vs-ksi-oneshot/1/,https://kbhgames.com/wp-content/uploads/2024/11/fnf-sick-of-it-a-speed-vs-ksi-oneshot.jpg
